iter	Passed	Remaining
0	0	94
1	1	83
2	2	82
3	3	77
4	3	74
5	4	73
6	5	71
7	6	69
8	6	68
9	7	67
10	8	66
11	9	66
12	9	65
13	10	65
14	11	64
15	11	62
16	12	61
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
