iter	Passed	Remaining
0	107	107478
1	108	54183
2	109	36404
3	110	27468
4	111	22127
5	112	18569
6	112	16014
7	114	14181
8	115	12679
9	116	11576
10	118	10629
11	119	9830
12	121	9253
13	122	8647
14	123	8126
15	124	7669
16	125	7262
17	126	6891
18	127	6577
19	128	6277
20	129	6036
21	130	5790
22	131	5580
23	132	5383
24	133	5192
25	134	5020
26	134	4861
27	136	4747
28	137	4616
29	139	4505
30	140	4401
31	141	4291
32	142	4180
33	144	4108
34	145	4017
35	147	3952
36	149	3884
37	150	3804
38	151	3727
39	152	3665
40	153	3600
41	154	3531
42	155	3462
43	156	3401
44	157	3342
45	159	3301
46	161	3271
47	162	3228
48	164	3201
49	166	3168
50	168	3128
51	169	3095
52	171	3060
53	172	3019
54	173	2975
55	173	2931
56	174	2891
57	175	2855
58	176	2819
59	177	2785
60	178	2752
61	179	2718
62	180	2691
63	182	2663
64	183	2640
65	184	2611
66	185	2586
67	186	2557
68	188	2536
69	189	2515
70	190	2490
71	191	2466
72	192	2440
73	193	2421
74	194	2400
75	195	2377
76	196	2358
77	198	2341
78	199	2324
79	201	2318
80	202	2298
81	203	2278
82	204	2253
83	205	2242
84	206	2225
85	207	2209
86	209	2195
87	210	2181
88	212	2172
89	213	2155
90	214	2140
91	215	2124
92	216	2115
93	218	2101
94	218	2086
95	219	2070
96	220	2055
97	221	2041
98	223	2030
99	224	2016
100	225	2003
101	226	1990
102	226	1976
103	227	1962
104	228	1950
105	229	1938
106	231	1930
107	232	1921
108	234	1915
109	235	1909
110	237	1899
111	238	1889
112	239	1878
113	240	1871
114	242	1866
115	243	1856
116	244	1844
117	245	1835
118	247	1829
119	248	1819
120	249	1811
121	250	1800
122	250	1789
123	251	1779
124	253	1771
125	254	1762
126	255	1752
127	256	1744
128	256	1734
129	257	1725
130	259	1719
131	259	1709
132	261	1701
133	262	1693
134	262	1685
135	264	1679
136	266	1676
137	267	1669
138	268	1662
139	269	1653
140	270	1648
141	271	1641
142	272	1633
143	273	1626
144	274	1618
145	275	1609
146	277	1608
147	278	1601
148	279	1595
149	280	1588
150	281	1583
151	282	1578
152	283	1572
153	285	1566
154	286	1559
155	287	1552
156	288	1546
157	289	1542
158	290	1536
159	291	1529
160	291	1521
161	292	1514
162	293	1507
163	294	1502
164	295	1495
165	296	1491
166	298	1487
167	299	1482
168	301	1480
169	303	1479
170	304	1475
171	305	1469
172	306	1466
173	308	1462
174	309	1457
175	310	1451
176	311	1450
177	313	1446
178	314	1442
179	315	1437
180	316	1433
181	318	1430
182	319	1426
183	320	1423
184	322	1419
185	323	1415
186	324	1412
187	325	1407
188	326	1402
189	327	1398
190	328	1392
191	329	1388
192	331	1384
193	332	1379
194	333	1375
195	334	1370
196	334	1365
197	335	1359
198	336	1355
199	337	1350
200	338	1347
201	339	1343
202	340	1338
203	342	1336
204	343	1333
205	344	1329
206	346	1325
207	347	1321
208	348	1317
209	349	1314
210	350	1309
211	351	1304
